llm_final_state,semantic_concept,citations,state_total,global_citations,within_state_share,other_citations,other_total,other_state_share,specificity_ratio,distinctive_score
De la Espriella,respaldo europeo,8,5947,10,0.0013452160753321001,2,8322.0,0.0002403268445085316,1.8908049001078995,2.332430737859823
De la Espriella,teleantioquia mapa,8,5947,10,0.0013452160753321001,2,8322.0,0.0002403268445085316,1.8908049001078995,2.332430737859823
De la Espriella,seguridad,134,5947,450,0.02253236926181268,316,8322.0,0.03797164143234799,0.6038331565444377,2.3172345726980237
De la Espriella,desconfianza,12,5947,21,0.0020178241129981504,9,8322.0,0.0010814708002883922,1.4498517647136941,2.2982652079154553
De la Espriella,empresarios comercio democracia,9,5947,13,0.0015133680847486128,4,8322.0,0.0004806536890170632,1.6974719364776787,2.2848897600937983
De la Espriella,estructura multinivel presion,41,5947,114,0.006894232386077013,73,8322.0,0.008771929824561403,0.8078478384315795,2.2132128420577493
De la Espriella,internacionalizacion derecha,9,5947,14,0.0015133680847486128,5,8322.0,0.000600817111271329,1.5700532353458907,2.173471347594149
De la Espriella,fake news imagenes falsas,98,5947,332,0.016478896922818228,234,8322.0,0.028118240807498196,0.6002731084742339,2.160507293305213
De la Espriella,debate presidencial,6,5947,6,0.0010089120564990752,0,8322.0,0.0,2.0089120564990752,2.143572920125047
De la Espriella,encuesta atlasintel compartida,6,5947,6,0.0010089120564990752,0,8322.0,0.0,2.0089120564990752,2.143572920125047
De la Espriella,presencia,6,5947,6,0.0010089120564990752,0,8322.0,0.0,2.0089120564990752,2.143572920125047
De la Espriella,tigre rugido esperanza,6,5947,6,0.0010089120564990752,0,8322.0,0.0,2.0089120564990752,2.143572920125047
De la Espriella,prohibicion camiseta seleccion,34,5947,94,0.005717168320161426,60,8322.0,0.007209805335255948,0.8181885009277156,2.125531689417344
De la Espriella,miedo democratico,31,5947,84,0.005212712291911888,53,8322.0,0.006368661379476087,0.8431263118177935,2.119170008188426
De la Espriella,denuncia eps salud,8,5947,12,0.0013452160753321001,4,8322.0,0.0004806536890170632,1.5839058739582648,2.085830034568115
De la Espriella,fenalco norte santander dia padre,8,5947,12,0.0013452160753321001,4,8322.0,0.0004806536890170632,1.5839058739582648,2.085830034568115
De la Espriella,cero triunfalismo movilizacion,12,5947,24,0.0020178241129981504,12,8322.0,0.0014419610670511895,1.2358199128220948,2.0637788038150178
De la Espriella,ejercito restablecer orden resultados,26,5947,70,0.004371952244829325,44,8322.0,0.005287190579187695,0.8544280910796538,2.035430874967212
De la Espriella,critica derecha internacional,6,5947,7,0.0010089120564990752,1,8322.0,0.0001201634222542658,1.7934097977027788,1.9989614961462223
De la Espriella,movilizacion patria milagro,6,5947,7,0.0010089120564990752,1,8322.0,0.0001201634222542658,1.7934097977027788,1.9989614961462223
De la Espriella,debilidad adversario,8,5947,13,0.0013452160753321001,5,8322.0,0.000600817111271329,1.4650118735110147,1.9823285965527526
De la Espriella,conflicto memoria derechos humanos,9,5947,16,0.0015133680847486128,7,8322.0,0.0008411439557798606,1.365112204756426,1.9821238826651204
De la Espriella,contraste planes,14,5947,32,0.0023541281318311754,18,8322.0,0.0021629416005767843,1.060445798689273,1.9577100600345783
De la Espriella,control institucional,9,5947,17,0.0015133680847486128,8,8322.0,0.0009613073780341264,1.2814758731330693,1.8992240995390057
De la Espriella,salud,9,5947,17,0.0015133680847486128,8,8322.0,0.0009613073780341264,1.2814758731330693,1.8992240995390057
De la Espriella,favoritismo mercado prediccion,8,5947,14,0.0013452160753321001,6,8322.0,0.0007209805335255948,1.362720861535661,1.8892041503567811
De la Espriella,ultima hora,8,5947,14,0.0013452160753321001,6,8322.0,0.0007209805335255948,1.362720861535661,1.8892041503567811
De la Espriella,desinformacion responsabilidad digital,49,5947,166,0.008239448461409114,117,8322.0,0.014059120403749098,0.6135450287726547,1.8716434048179025
De la Espriella,bloque internacional derecha,5,5947,5,0.0008407600470825626,0,8322.0,0.0,1.8407600470825625,1.870725244979686
De la Espriella,capacidad,5,5947,5,0.0008407600470825626,0,8322.0,0.0,1.8407600470825625,1.870725244979686
De la Espriella,organizacion,5,5947,5,0.0008407600470825626,0,8322.0,0.0,1.8407600470825625,1.870725244979686
De la Espriella,movilizacion,102,5947,402,0.017151504960484277,300,8322.0,0.03604902667627974,0.4899320330081868,1.8480078229989134
De la Espriella,libertad prensa control democratico,8,5947,15,0.0013452160753321001,7,8322.0,0.0008411439557798606,1.2737820244689817,1.8048981216146376
De la Espriella,intencion,72,5947,273,0.012106944677988903,201,8322.0,0.024152847873107425,0.5210918757236395,1.7995406084624197
De la Espriella,espectaculo reconstruccion nacional,6,5947,9,0.0010089120564990752,3,8322.0,0.0003604902667627974,1.4766089148723993,1.7647269443447213
De la Espriella,limite simbolos nacionales,17,5947,47,0.002858584160080713,30,8322.0,0.003604902667627974,0.837929580402685,1.7591950286178373
De la Espriella,presunto autoatentado,38,5947,132,0.006389776357827476,94,8322.0,0.011295361691900985,0.6010214699657968,1.724225409737946
De la Espriella,denuncias fiscalia cpi,18,5947,52,0.0030267361694972256,34,8322.0,0.004085556356645037,0.7917985540039675,1.7172553898298348
De la Espriella,clima,7,5947,13,0.0011770640659155877,6,8322.0,0.0007209805335255948,1.2650137659928444,1.7001115553439154
De la Espriella,jornada decisiva,7,5947,13,0.0011770640659155877,6,8322.0,0.0007209805335255948,1.2650137659928444,1.7001115553439154
De la Espriella,fantasma convulsion social,6,5947,10,0.0010089120564990752,4,8322.0,0.0004806536890170632,1.3567737489194371,1.668216371877646
De la Espriella,paz conflicto,10,5947,24,0.0016815200941651253,14,8322.0,0.0016822879115597211,0.9997137453472884,1.661751118715631
De la Espriella,orden reconocimiento,13,5947,35,0.0021859761224146627,22,8322.0,0.0026435952895938475,0.8744045013763876,1.6580959943095015
De la Espriella,confianza,14,5947,39,0.0023541281318311754,25,8322.0,0.003004085556356645,0.8376764393823612,1.6478538793256665
De la Espriella,orden religion honor militar,5,5947,7,0.0008407600470825626,2,8322.0,0.0002403268445085316,1.4840927254234728,1.630335365718828
De la Espriella,religion valores,5,5947,7,0.0008407600470825626,2,8322.0,0.0002403268445085316,1.4840927254234728,1.630335365718828
De la Espriella,retos nacionales,5,5947,7,0.0008407600470825626,2,8322.0,0.0002403268445085316,1.4840927254234728,1.630335365718828
De la Espriella,cierres buga soledad,12,5947,32,0.0020178241129981504,20,8322.0,0.002403268445085316,0.886742894865144,1.6283632458207338
De la Espriella,imagen,12,5947,32,0.0020178241129981504,20,8322.0,0.002403268445085316,0.886742894865144,1.6283632458207338
De la Espriella,justicia,17,5947,52,0.002858584160080713,35,8322.0,0.004205719778899303,0.741220104801064,1.6029599347156205
De la Espriella,acusacion gobernadores compra votos,8,5947,18,0.0013452160753321001,10,8322.0,0.001201634222542658,1.0652160342164467,1.5935038103830284
De la Espriella,estrategia regional,4,5947,4,0.0006726080376660501,0,8322.0,0.0,1.6726080376660502,1.582165647084206
De la Espriella,inicio nueva etapa,4,5947,4,0.0006726080376660501,0,8322.0,0.0,1.6726080376660502,1.582165647084206
